x y
1179.9826913981658 1102.7502821545932
1385.1318005352998 202.6778474903153
704.2054226805564 604.1190305315146
1217.0176281733225 1089.8842761950518
193.13837195779442 493.0807086936105
1295.0244302906654 820.4799114215347
1306.4200259601757 809.2207019825989
1303.2090917195655 799.8195016350531
204.82391046652288 509.6815718585662
1293.646625121839 802.1125919326818
1187.2462657766132 1112.5878447538369
704.0241310387405 605.2030480658949
1305.1075033613392 787.5073303056747
1307.838251776316 789.1549839744698
209.01463483702713 500.0945565384002
690.612398723823 601.6356720149882
697.7943648755316 598.2680450689514
1295.4634855493318 801.2653578535657
205.10493287994683 499.18852666870407
691.2859727226855 617.731887950763
197.51604426683312 492.91729368465
1214.770123514543 1094.3381935425411
1395.0644191949389 188.58345330633767
1393.8254074000652 201.51374788241029
703.7692268479984 610.4358665553564
1408.7502323226827 213.98937587245098
192.59562891537922 497.9979397579516
690.4907790418149 605.2048084955904
1400.2793968066378 202.10987815092554
1201.6438238067133 1096.6097073326566
697.8899322298195 602.3585186774387
1213.80937207614 1112.2435584539714
1192.0408833598497 1096.6901303303455
1287.9477294796873 806.9142263050771
1287.1801206375328 821.2579278639047
1180.6308951128165 1101.5398167407918
199.39390371052278 513.0820085437733
1202.000801605166 1105.4721615537662
190.46112670986602 517.3958792940554
1392.0877141039296 208.73160342114926
1395.473690436106 203.81023162566032
1402.1018571794157 208.71070436128497
215.7219024108429 484.45966498806365
1405.3185197356918 203.83271566351104
1309.1129632846569 810.2532069665067
1399.846054323973 190.57450668336338
699.3843214555338 600.202711572481
1207.616323648509 1087.7875189637568
696.007323737045 604.0884479814682
199.51092357083263 500.28787058800293
